n1,n2,N1,N2,N3,N4,N5,N6,k1,k2,K1,K2,K3,K4,K5,K6,PaperLabel
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i-i
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ii-i
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iii-i
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,i-ii
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,i-iii
1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,ii-ii.1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,ii-ii.2
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,ii-ii.3
1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,iii-ii.1
1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,iii-ii.2
1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,iii-ii.3
1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,ii-iii.1
1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,ii-iii.2
1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,ii-iii.3
1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,iii-iii.1
1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,iii-iii.2
1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,iii-iii.3
