index,n,m,k,l,N,M,K,L,PaperLabel
1,"(0,0)","(0,0,0,0)","(0,0)","(0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,0,0)",I-I
2,"(0,0)","(1,0,1,0)","(0,0)","(1,0,1,0)","(0,0,0,0,0,0)","(1,0,0,0,0,0)","(0,0,0,0,0,0)","(1,0,0,0,0,0)",II-II
3,"(0,0)","(1,0,1,0)","(1,0)","(1,0,1,1)","(0,0,0,0,0,0)","(0,0,0,0,1,0)","(1,0,0,0,0,0)","(0,1,0,0,0,0)",II-IV
4,"(1,0)","(1,0,1,1)","(0,0)","(1,0,1,0)","(1,0,0,0,0,0)","(0,1,0,0,0,0)","(0,0,0,0,0,0)","(0,0,0,0,1,0)",IV-II
5,"(0,0)","(1,1,1,1)","(0,0)","(1,1,1,1)","(0,0,0,0,0,0)","(1,1,0,0,0,0)","(0,0,0,0,0,0)","(1,1,0,0,0,0)",III-III
6,"(0,0)","(1,1,1,1)","(1,0)","(1,0,1,1)","(0,0,0,0,0,0)","(0,1,0,1,0,0)","(1,0,0,0,0,0)","(0,1,0,0,0,0)",III-IV
7,"(1,0)","(1,0,1,1)","(0,0)","(1,1,1,1)","(1,0,0,0,0,0)","(0,1,0,0,0,0)","(0,0,0,0,0,0)","(0,1,0,1,0,0)",IV-III
8,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,1,0,0,0,0)","(0,0,0,1,0,0)","(0,1,0,0,0,0)","(0,0,0,1,0,0)",IV-IV
9,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,1,0,0,0,0)","(0,0,0,0,1,0)","(0,1,0,0,0,0)","(0,0,0,0,1,0)",IV-IV
10,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,0,0,1,0,0)","(0,1,0,0,0,0)","(0,0,0,1,0,0)","(0,1,0,0,0,0)",IV-IV
11,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,0,0,1,0,0)","(0,0,0,0,1,0)","(0,0,0,0,1,0)","(0,1,0,0,0,0)",IV-IV
12,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,0,0,0,1,0)","(0,1,0,0,0,0)","(0,0,0,1,0,0)","(0,0,0,0,1,0)",IV-IV
13,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,0,0,0,1,0)","(0,0,0,1,0,0)","(0,0,0,0,1,0)","(0,0,0,1,0,0)",IV-IV
14,"(1,0)","(1,0,1,1)","(1,0)","(1,0,1,1)","(0,0,0,0,1,0)","(0,0,0,0,0,1)","(0,0,0,0,1,0)","(0,0,0,0,0,1)",IV-IV
15,"(1,0)","(1,0,1,1)","(1,1)","(1,1,1,1)","(1,0,0,0,0,0)","(0,0,1,0,0,0)","(0,0,0,1,1,0)","(0,1,0,0,1,0)",IV-V
16,"(1,1)","(1,1,1,1)","(1,0)","(1,0,1,1)","(0,0,0,1,1,0)","(0,1,0,0,1,0)","(1,0,0,0,0,0)","(0,0,1,0,0,0)",V-IV
17,"(1,0)","(1,0,1,1)","(1,1)","(1,1,1,1)","(1,0,0,0,0,0)","(0,0,0,0,1,0)","(0,0,0,1,1,0)","(0,1,0,1,0,0)",IV-V
18,"(1,1)","(1,1,1,1)","(1,0)","(1,0,1,1)","(0,0,0,1,1,0)","(0,1,0,1,0,0)","(1,0,0,0,0,0)","(0,0,0,0,1,0)",V-IV
